,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,description,link,source_category,display_text_range,retweet_count,favorite_count,jpg_url,img_num,dog_breed
0,892177421306343426,,,2017-08-01 00:17:27+00:00,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,None,None,None,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://t.co/0Xxu71qeIV,Twitter for iPhone,"[0, 138]",6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua
1,891815181378084864,,,2017-07-31 00:18:03+00:00,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,None,None,None,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://t.co/wUnZnhtVJB,Twitter for iPhone,"[0, 121]",4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua
2,891689557279858688,,,2017-07-30 15:58:51+00:00,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,None,None,None,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://t.co/tD36da7qLQ,Twitter for iPhone,"[0, 79]",8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_retriever
3,891327558926688256,,,2017-07-29 16:00:24+00:00,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,None,None,None,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://t.co/AtUZn91f7f,Twitter for iPhone,"[0, 138]",9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset
4,891087950875897856,,,2017-07-29 00:08:17+00:00,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,None,None,None,None,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://t.co/kQ04fDDRmh,Twitter for iPhone,"[0, 138]",3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever
5,890971913173991426,,,2017-07-28 16:27:12+00:00,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,None,None,None,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,Twitter for iPhone,"[0, 140]",2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller
6,890729181411237888,,,2017-07-28 00:22:40+00:00,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,None,None,None,None,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://t.co/v0nONBcwxq,Twitter for iPhone,"[0, 118]",16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian
7,890609185150312448,,,2017-07-27 16:25:51+00:00,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,None,None,None,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://t.co/9TwLuAGH0b,Twitter for iPhone,"[0, 122]",4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier
8,890240255349198849,,,2017-07-26 15:59:51+00:00,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,None,None,None,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://t.co/t1bfwz5S2A,Twitter for iPhone,"[0, 133]",7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke
9,890006608113172480,,,2017-07-26 00:31:25+00:00,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,None,None,None,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,https://t.co/dVPW0B0Mme,Twitter for iPhone,"[0, 130]",7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed
10,889880896479866881,,,2017-07-25 16:11:53+00:00,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,None,None,None,None,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,https://t.co/u1XPQMl29g,Twitter for iPhone,"[0, 107]",5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog
